Algorithm,File,BitLength,Number,Result,TimeUS,Iterations
fermat,primes_128.txt,128,20441442730522001670...,1,448,5
fermat,primes_128.txt,128,18666770672938251666...,1,440,5
fermat,primes_128.txt,128,21134037532359209005...,1,451,5
miller,primes_2048.txt,2048,21259164412531685947...,1,18725,5
miller,primes_2048.txt,2048,23748164419219698778...,1,18087,5
miller,primes_2048.txt,2048,32014021851135015614...,1,17661,5
miller,primes_2048.txt,2048,19742990077027106665...,1,17234,5
miller,primes_2048.txt,2048,29068009204185656052...,1,16870,5
miller,primes_2048.txt,2048,30692949138215386448...,1,16580,5
miller,primes_2048.txt,2048,23406262212629822677...,1,16266,5
miller,primes_2048.txt,2048,18593788114068054047...,1,15913,5
miller,primes_2048.txt,2048,18797628711071663903...,1,15632,5
miller,primes_2048.txt,2048,29151527124619107008...,1,15451,5
miller,primes_2048.txt,2048,23845069676231690802...,1,15164,5
miller,primes_2048.txt,2048,20273801380098030768...,1,14929,5
miller,primes_2048.txt,2048,26517412727278445865...,1,14715,5
miller,primes_2048.txt,2048,23257781717819094704...,1,14491,5
miller,primes_2048.txt,2048,19095533728030724442...,1,14269,5
miller,primes_2048.txt,2048,26376590988878051891...,1,14085,5
miller,primes_2048.txt,2048,25554131186565519259...,1,13857,5
miller,primes_2048.txt,2048,31379174393098481376...,1,13680,5
miller,primes_2048.txt,2048,29336677694924250316...,1,13547,5
miller,primes_2048.txt,2048,31493786700289529958...,1,13346,5
fermat,primes_2048.txt,2048,21259164412531685947...,1,13398,5
fermat,primes_2048.txt,2048,23748164419219698778...,1,14042,5
fermat,primes_2048.txt,2048,32014021851135015614...,1,13256,5
fermat,primes_2048.txt,2048,19742990077027106665...,1,13050,5
fermat,primes_2048.txt,2048,29068009204185656052...,1,12914,5
fermat,primes_2048.txt,2048,30692949138215386448...,1,12733,5
fermat,primes_2048.txt,2048,23406262212629822677...,1,12572,5
fermat,primes_2048.txt,2048,18593788114068054047...,1,12414,5
fermat,primes_2048.txt,2048,18797628711071663903...,1,12292,5
fermat,primes_2048.txt,2048,29151527124619107008...,1,12201,5
fermat,primes_2048.txt,2048,23845069676231690802...,1,12064,5
fermat,primes_2048.txt,2048,20273801380098030768...,1,11938,5
fermat,primes_2048.txt,2048,26517412727278445865...,1,11840,5
fermat,primes_2048.txt,2048,23257781717819094704...,1,11699,5
fermat,primes_2048.txt,2048,19095533728030724442...,1,11573,5
fermat,primes_2048.txt,2048,26376590988878051891...,1,11522,5
fermat,primes_2048.txt,2048,25554131186565519259...,1,11378,5
fermat,primes_2048.txt,2048,31379174393098481376...,1,11268,5
fermat,primes_2048.txt,2048,29336677694924250316...,1,11176,5
fermat,primes_2048.txt,2048,31493786700289529958...,1,11086,5
miller,primes_256.txt,256,59285904408157451145...,1,309,5
miller,primes_256.txt,256,10730436108284162832...,1,292,5
miller,primes_256.txt,256,58008228126332585964...,1,296,5
miller,primes_256.txt,256,10866785877909663032...,1,290,5
miller,primes_256.txt,256,58336837393178124419...,1,287,5
miller,primes_256.txt,256,11198156198348377337...,1,294,5
miller,primes_256.txt,256,85384569313377179235...,1,290,5
miller,primes_256.txt,256,67439901075815568518...,1,288,5
miller,primes_256.txt,256,96382692118803879367...,1,296,5
miller,primes_256.txt,256,10964293268705139280...,1,289,5
miller,primes_256.txt,256,83221096137034860121...,1,290,5
miller,primes_256.txt,256,68291479039116403296...,1,291,5
miller,primes_256.txt,256,85487585278695868058...,1,295,5
miller,primes_256.txt,256,10767879998773302137...,1,288,5
miller,primes_256.txt,256,11400321899953742361...,1,289,5
miller,primes_256.txt,256,10174010575361692267...,1,293,5
miller,primes_256.txt,256,80834874402121223578...,1,289,5
miller,primes_256.txt,256,11488554521885909459...,1,289,5
miller,primes_256.txt,256,92342546924614278728...,1,290,5
miller,primes_256.txt,256,70045889500237885102...,1,305,5
fermat,primes_256.txt,256,59285904408157451145...,1,322,5
fermat,primes_256.txt,256,10730436108284162832...,1,291,5
fermat,primes_256.txt,256,58008228126332585964...,1,285,5
fermat,primes_256.txt,256,10866785877909663032...,1,288,5
fermat,primes_256.txt,256,58336837393178124419...,1,289,5
fermat,primes_256.txt,256,11198156198348377337...,1,288,5
fermat,primes_256.txt,256,85384569313377179235...,1,287,5
fermat,primes_256.txt,256,67439901075815568518...,1,289,5
fermat,primes_256.txt,256,96382692118803879367...,1,288,5
fermat,primes_256.txt,256,10964293268705139280...,1,288,5
fermat,primes_256.txt,256,83221096137034860121...,1,290,5
fermat,primes_256.txt,256,68291479039116403296...,1,285,5
fermat,primes_256.txt,256,85487585278695868058...,1,286,5
fermat,primes_256.txt,256,10767879998773302137...,1,287,5
fermat,primes_256.txt,256,11400321899953742361...,1,292,5
fermat,primes_256.txt,256,10174010575361692267...,1,288,5
fermat,primes_256.txt,256,80834874402121223578...,1,286,5
fermat,primes_256.txt,256,11488554521885909459...,1,291,5
fermat,primes_256.txt,256,92342546924614278728...,1,287,5
fermat,primes_256.txt,256,70045889500237885102...,1,285,5
miller,primes_512.txt,512,11111579660962091807...,1,503,5
miller,primes_512.txt,512,12894250742263322904...,1,487,5
miller,primes_512.txt,512,67185514520816838120...,1,465,5
miller,primes_512.txt,512,10827759551461452245...,1,756,5
miller,primes_512.txt,512,10717110376450348628...,1,953,5
miller,primes_512.txt,512,11136188226259797966...,1,475,5
miller,primes_512.txt,512,93557895126554370104...,1,475,5
miller,primes_512.txt,512,70565747637055032229...,1,472,5
miller,primes_512.txt,512,10183151537446901434...,1,477,5
miller,primes_512.txt,512,10661236145230901913...,1,472,5
miller,primes_512.txt,512,11512101718499710135...,1,473,5
miller,primes_512.txt,512,71650332074055262176...,1,469,5
miller,primes_512.txt,512,10617868052855682967...,1,478,5
miller,primes_512.txt,512,11200860684333934682...,1,477,5
miller,primes_512.txt,512,10348483400047160664...,1,476,5
miller,primes_512.txt,512,11098050365557026477...,1,475,5
miller,primes_512.txt,512,13276302747115154106...,1,481,5
miller,primes_512.txt,512,10626534401623478282...,1,474,5
miller,primes_512.txt,512,11713258460724218923...,1,616,5
miller,primes_512.txt,512,91132067021589732244...,1,1211,5
fermat,primes_512.txt,512,11111579660962091807...,1,503,5
fermat,primes_512.txt,512,12894250742263322904...,1,815,5
fermat,primes_512.txt,512,67185514520816838120...,1,692,5
fermat,primes_512.txt,512,10827759551461452245...,1,489,5
fermat,primes_512.txt,512,10717110376450348628...,1,485,5
fermat,primes_512.txt,512,11136188226259797966...,1,477,5
fermat,primes_512.txt,512,93557895126554370104...,1,482,5
fermat,primes_512.txt,512,70565747637055032229...,1,470,5
fermat,primes_512.txt,512,10183151537446901434...,1,484,5
fermat,primes_512.txt,512,10661236145230901913...,1,479,5
fermat,primes_512.txt,512,11512101718499710135...,1,490,5
fermat,primes_512.txt,512,71650332074055262176...,1,478,5
fermat,primes_512.txt,512,10617868052855682967...,1,491,5
fermat,primes_512.txt,512,11200860684333934682...,1,484,5
fermat,primes_512.txt,512,10348483400047160664...,1,490,5
fermat,primes_512.txt,512,11098050365557026477...,1,484,5
fermat,primes_512.txt,512,13276302747115154106...,1,494,5
fermat,primes_512.txt,512,10626534401623478282...,1,485,5
fermat,primes_512.txt,512,11713258460724218923...,1,485,5
fermat,primes_512.txt,512,91132067021589732244...,1,481,5
